Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Execution_time,Status,Roots
A-n32-k5.vrp,32,5,100,831.0185746147714,300.0510047999851,Timeout,"[[0 30 16 1 12 0] [0 20 5 25 10 15 29 27 0] [0 21 31 19 17 13 7 26 0] [0 14 23 2 3 6 0] [0 24 18 8 28 4 11 9 22 0]]"
A-n33-k5.vrp,33,5,100,inf,300.02076139999554,Timeout,"[]"
A-n33-k6.vrp,33,6,100,inf,300.0195276000013,Timeout,"[]"
A-n34-k5.vrp,34,5,100,inf,300.01319830000284,Timeout,"[]"
A-n36-k5.vrp,36,5,100,inf,300.0168199999898,Timeout,"[]"
A-n37-k5.vrp,37,5,100,inf,300.02386939999997,Timeout,"[]"
A-n37-k6.vrp,37,6,100,inf,300.0253204999899,Timeout,"[]"
A-n38-k5.vrp,38,5,100,inf,300.02743990000454,Timeout,"[]"
B-n31-k5.vrp,31,5,100,684.9983148155193,300.0294409999915,Timeout,"[[0 24 11 14 15 19 1 3 0] [0 22 13 17 30 7 8 0] [0 6 9 23 12 28 26 0] [0 29 4 5 25 18 16 21 0] [0 20 27 10 2 0]]"
E-n13-k4.vrp,13,4,6000,290.0,126.42902459998732,Optimal,"[[0 6 9 8 0] [0 5 0] [0 1 2 3 4 0] [0 12 11 10 7 0]]"
E-n22-k4.vrp,22,4,6000,375.2797871480125,300.01397209998686,Timeout,"[[0 13 11 4 3 8 10 0] [0 6 1 2 5 7 9 0] [0 14 21 19 16 0] [0 17 20 18 15 12 0]]"
E-n23-k3.vrp,23,3,4500,568.5625010705219,154.1195216999913,Optimal,"[[0 12 11 6 1 2 3 16 15 14 17 22 20 19 18 0] [0 21 4 5 8 9 7 0] [0 10 13 0]]"
E-n30-k3.vrp,30,3,4500,555.0786689674383,300.01905380000244,Timeout,"[[0 20 3 4 5 2 22 0] [0 18 10 7 13 16 26 28 27 29 25 24 1 6 19 0] [0 21 14 8 9 17 12 11 15 23 0]]"
E-n31-k7.vrp,31,7,140,inf,300.02098410000326,Timeout,"[]"
P-n16-k8.vrp,16,8,35,451.3350802086181,22.45771620000596,Optimal,"[[0 1 0] [0 2 0] [0 6 0] [0 3 9 5 0] [0 13 8 0] [0 15 12 10 0] [0 11 4 0] [0 7 14 0]]"
P-n19-k2.vrp,19,2,160,212.65690418589227,28.08133060002001,Optimal,"[[0 1 10 2 7 9 15 13 5 18 0] [0 4 11 14 12 3 17 16 8 6 0]]"
P-n20-k2.vrp,20,2,160,217.41558334616656,28.233786299999338,Optimal,"[[0 1 10 2 7 9 16 14 5 19 0] [0 4 11 15 12 3 18 17 8 13 6 0]]"
P-n21-k2.vrp,21,2,160,212.71153970290388,36.92122849999578,Optimal,"[[0 16 1 10 8 18 19 3 12 15 11 4 0] [0 20 5 14 17 9 13 2 7 6 0]]"
P-n22-k2.vrp,22,2,160,217.8521507402297,26.25980579998577,Optimal,"[[0 16 1 10 8 18 19 3 12 15 11 4 0] [0 6 2 13 9 7 21 17 14 5 20 0]]"
P-n22-k8.vrp,22,8,3000,inf,300.0137026000011,Timeout,"[]"
P-n23-k8.vrp,23,8,40,inf,300.01368000000366,Timeout,"[]"
X-n219-k73.vrp,219,None,3,None,0.000593700009630993,Infeasible,[]
A-n39-k5.vrp,39,5,100,inf,300.02913690000423,Timeout,[]
A-n39-k6.vrp,39,6,100,inf,300.02607089999947,Timeout,[]
A-n44-k6.vrp,44,6,100,inf,300.02959089999786,Timeout,[]
A-n45-k6.vrp,45,6,100,inf,300.03685899998527,Timeout,[]
