Size,Instance_Name,#Node,#Truck,Used_truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration
small,A-n32-k5.vrp,32,5,4,100,787.8082774366646,922.5533470213398,1.1710378951882845,300,10000
small,A-n33-k5.vrp,33,5,4,100,662.7628798187153,785.5003100703207,1.1851905620984349,300,10000
small,A-n33-k6.vrp,33,6,5,100,742.830104787331,763.2461294713394,1.0274841105017591,300,10000
small,A-n34-k5.vrp,34,5,5,100,781.3034826995502,870.702665747454,1.1144231211398328,300,10000
small,A-n36-k5.vrp,36,5,4,100,802.1318035237848,980.2697469844704,1.2220806389649697,300,10000
small,A-n37-k5.vrp,37,5,4,100,672.593526946931,999.1280160635271,1.485485625469542,300,10000
small,A-n37-k6.vrp,37,6,5,100,952.2175276972253,1002.1720993191831,1.052461302348387,300,10000
small,A-n38-k5.vrp,38,5,5,100,734.1846511333271,1026.9100956550114,1.398708205176746,300,10000
small,A-n39-k5.vrp,39,5,5,100,828.989115424054,1041.2203877480747,1.2560121337847212,300,10000
small,A-n39-k6.vrp,39,6,5,100,833.2046053523984,1132.2666075509255,1.3589298478157605,300,10000
small,A-n44-k6.vrp,44,6,6,100,939.3346964376051,1238.1057494889444,1.3180666637615095,300,10000
small,A-n45-k6.vrp,45,6,6,100,944.8763669421223,1437.3223737474734,1.5211750701301174,300,10000
small,A-n45-k7.vrp,45,7,6,100,1147.22098351604,1214.7639893006087,1.0588753228497974,300,10000
small,A-n46-k7.vrp,46,7,6,100,918.461372792691,1229.9079968786,1.3390960505382152,300,10000
small,A-n48-k7.vrp,48,7,6,100,1074.337824689917,1435.141057184387,1.3358377823089376,300,10000
small,B-n31-k5.vrp,31,5,4,100,676.7582609500149,329.20814705823193,0.4864486568602775,300,10000
small,B-n34-k5.vrp,34,5,5,100,791.2402758558225,539.9024253920736,0.6823495237374052,300,10000
small,B-n35-k5.vrp,35,5,4,100,956.29409898826,925.3139008879905,0.9676039012129783,300,10000
small,B-n38-k6.vrp,38,6,5,100,809.452489572368,728.2509192131935,0.8996833397818406,300,10000
small,B-n39-k5.vrp,39,5,4,100,553.2673599367333,914.2998794702826,1.6525462112473681,300,10000
small,B-n41-k6.vrp,41,6,6,100,834.9577391350781,1025.8610984771367,1.2286383494568394,300,10000
small,B-n43-k6.vrp,43,6,5,100,747.5357650288681,920.6236044234564,1.231544559460515,300,10000
small,B-n44-k7.vrp,44,7,6,100,915.8400817074579,991.1475389713632,1.0822277368812085,300,10000
small,B-n45-k5.vrp,45,5,5,100,755.4335679475657,1207.4681009533947,1.5983776101371292,300,10000
small,B-n45-k6.vrp,45,6,6,100,680.4379297045854,733.4401560149277,1.0778942854249078,300,10000
small,B-n50-k7.vrp,50,7,5,100,744.7824415526958,1254.349894989345,1.6841829573402958,300,10000
small,B-n50-k8.vrp,50,8,6,100,1322.5618541413928,1020.0514780410798,0.7712693926918808,300,10000
small,E-n13-k4.vrp,13,4,3,6000,290.0,78.0,0.2689655172413793,300,10000
small,E-n22-k4.vrp,22,4,4,6000,375.2797871480125,313.1955641250912,0.8345655024622072,300,10000
small,E-n23-k3.vrp,23,3,3,4500,568.5625010705219,627.4724474754107,1.1036120853801823,300,10000
small,E-n30-k3.vrp,30,3,3,4500,535.7967571874207,668.9408866749446,1.2484974530014754,300,10000
small,E-n31-k7.vrp,31,7,6,140,1263.0,328.0,0.2596991290577989,300,10000
small,E-n33-k4.vrp,33,4,4,8000,838.7210087828687,620.8881678789293,0.7402797370963045,300,10000
small,F-n45-k4.vrp,45,4,4,2010,724.5691570372719,1353.9514348458097,1.8686296838552325,300,10000
small,P-n16-k8.vrp,16,8,6,35,451.94709212981854,78.53962196284238,0.17378056708523404,300,10000
small,P-n19-k2.vrp,19,2,2,160,212.6569041858923,188.33294138777052,0.8856187487011511,300,10000
small,P-n20-k2.vrp,20,2,2,160,217.41558334616656,194.0958695718255,0.8927412956539933,300,10000
small,P-n21-k2.vrp,21,2,2,160,212.71153970290385,203.4202005985655,0.9563195343453597,300,10000
small,P-n22-k2.vrp,22,2,2,160,217.8521507402297,215.4969287100998,0.9891888970472534,300,10000
small,P-n22-k8.vrp,22,8,7,3000,601.4237061659817,247.99926722655277,0.41235366129400564,300,10000
small,P-n23-k8.vrp,23,8,7,40,531.1738035458812,179.07197085270394,0.33712500439083914,300,10000
small,P-n40-k5.vrp,40,5,5,140,461.7261717631887,689.9226582391257,1.4942247167937774,300,10000
small,P-n45-k5.vrp,45,5,5,150,512.7913045095214,884.6985538506514,1.7252604442987867,300,10000
small,P-n50-k10.vrp,50,10,9,100,699.5615304783074,846.8926268574928,1.2106049145933617,300,10000
small,P-n50-k7.vrp,50,7,6,150,559.8625135512013,885.4915848586184,1.5816232796905005,300,10000
small,P-n50-k8.vrp,50,8,7,120,634.8499103018386,865.7674561795471,1.3637356517352568,300,10000
